Extracted Objects Summary
========================

wall_obj_009_0009.ply                              | wall_obj_009                   |  361,409 points
indoor_plant_obj_068_0068.ply                      | indoor plant_obj_068           |    1,387 points
plate_obj_040_0040.ply                             | plate_obj_040                  |    1,337 points
basket_obj_004_0004.ply                            | basket_obj_004                 |    1,208 points
vent_obj_032_0032.ply                              | vent_obj_032                   |    1,046 points
vase_obj_025_0025.ply                              | vase_obj_025                   |      995 points
wall_plug_obj_039_0039.ply                         | wall plug_obj_039              |      982 points
cushion_obj_064_0064.ply                           | cushion_obj_064                |      971 points
basket_obj_047_0047.ply                            | basket_obj_047                 |      897 points
pot_obj_037_0037.ply                               | pot_obj_037                    |      859 points
switch_obj_043_0043.ply                            | switch_obj_043                 |      757 points
plate_obj_005_0005.ply                             | plate_obj_005                  |      723 points
table_obj_080_0080.ply                             | table_obj_080                  |      713 points
floor_obj_044_0044.ply                             | floor_obj_044                  |      681 points
plate_obj_091_0091.ply                             | plate_obj_091                  |      646 points
switch_obj_034_0034.ply                            | switch_obj_034                 |      614 points
lamp_obj_019_0019.ply                              | lamp_obj_019                   |      556 points
vent_obj_078_0078.ply                              | vent_obj_078                   |      525 points
candle_obj_085_0085.ply                            | candle_obj_085                 |      470 points
pillar_obj_054_0054.ply                            | pillar_obj_054                 |      429 points
book_obj_060_0060.ply                              | book_obj_060                   |      322 points
cushion_obj_051_0051.ply                           | cushion_obj_051                |      291 points
wall_plug_obj_093_0093.ply                         | wall plug_obj_093              |      239 points
vase_obj_063_0063.ply                              | vase_obj_063                   |      225 points
candle_obj_072_0072.ply                            | candle_obj_072                 |      224 points
book_obj_081_0081.ply                              | book_obj_081                   |      220 points
wall_plug_obj_073_0073.ply                         | wall plug_obj_073              |      161 points
plate_obj_052_0052.ply                             | plate_obj_052                  |      139 points
book_obj_049_0049.ply                              | book_obj_049                   |       97 points
candle_obj_048_0048.ply                            | candle_obj_048                 |       81 points
basket_obj_092_0092.ply                            | basket_obj_092                 |       76 points
switch_obj_020_0020.ply                            | switch_obj_020                 |       50 points
wall_plug_obj_028_0028.ply                         | wall plug_obj_028              |       48 points
plate_obj_074_0074.ply                             | plate_obj_074                  |       15 points
